序号,英文,中文释义,,
1616,obedience,服从，顺从，遵守,,
1617,affluence,富裕,,
1618,revitalize,使复苏，使复兴,,
1619,dense,复杂的，难懂的,,
1620,fantasy,幻想，想象力，虚幻，幻想出来的景象，幻想作品，奇幻作品,,
1621,hortatory,劝告的，忠告的,,
1622,methodical,有条理的，井然的,,
1623,exiguous,微小的，稀少的,,
1624,exiguity,微小，稀少,,
1625,reach,地带，大片地区，一段流域,,
1626,dedication,全身心投入，热忱，忠实,,
1627,dedicated  ,全身心投入的，热忱的，忠实的,,
1628,a priori,先验的，基于理论而非观察或实践的,,
1629,notion,观念，见解，看法,,
1630,dichotomous,截然对立的，一分为二的,,
1631,shrink,退缩，回避，不情愿，收缩，变小，使变小,,
1632,assault,批评，指责,,
1633,safeguard,保护，保卫,,
1634,harbinger,预示，先兆，先驱,,
1635,landscape,地貌，风景,,
1636,alteration,改变，改动，更改,,
1637,alternative,替代性的，非传统的，反传统的,,
1638,alternate ,交替的，轮流的,,
1639,theme,题目，主题,,
1640,thematic  ,题目的，主题的，专题的,,
1641,hamstring,妨碍，束缚，使受挫,,
1642,venue,发生地点，举行场所,,
1643,volume,一本书，数量，规模，大量,,
1644,prominent,杰出的，卓越的，重要的，著名的,,
1645,complacent,自满的，沾沾自喜的,,
1646,complacency  ,自满，沾沾自喜,,
1647,open-ended,无结论的，无确定答案的,,
1648,fine,精细的，精致的,,
1649,canned,老套的，千篇一律的，毫无新意的,,
1650,adornment,装饰品，饰物,,
1651,stylistic,风格的，文体的，语体的,,
1652,gaiety,快乐，欢乐，高兴,,
1653,predecessor,前任，前辈,,
1654,lugubrious,忧郁的，悲伤的,,
1655,reparation,弥补，补偿，赔偿,,
1656,unmoved,无动于衷的，不为所动的,,
1657,circumspect,谨慎的，小心的,,
1658,espouse,支持，拥护，信奉,,
1659,castigate,严厉批评,,
1660,dimension,方面，部分，元素,,
1661,burlesque,幽默夸张的模仿,,
1662,manuscript,手稿，原稿,,
1663,compassion,同情，怜悯,,
1664,compassionate ,有同情心的，同情的,,
1665,transitory,短暂的，昙花一现的,,
1666,allure,魅力，吸引力，诱惑力,,
1667,overlook,忽视，忽略，看漏,,
1668,culmination,顶点，高潮，终点,,
1669,assuage,缓和，减轻，安抚，使平静,,
1670,allusion,暗指，影射，间接提到,,
1671,succumb,屈服，屈从,,
1672,loquacious,多话的，过于健谈的,,
1673,sectarian,宗派的，狭隘的，门户之见的,,
1674,stem,阻挡，制止，遏止，起源于，源自,,
1675,ungainly,笨拙的，笨手笨脚的,,
1676,cursory,草草的，仓促的，粗略的,,
1677,extraneous,无关的，不重要的,,
1678,forswear,承诺放弃,,
1679,diatribe,猛烈批评,,
1680,lurch,颠簸着行进，蹒跚而行,,
1681,hew,坚持，遵守,,
1682,premature,不成熟的，仓促的，草率的,,
1683,articulate,清楚的，清楚有力的，清楚地表达，把……说明白,,
1684,surreptitious,鬼鬼祟祟的，偷偷摸摸的,,
1685,plethora,太多，过多，过剩,,
1686,decouple,使分离，拆开,,
1687,illustrious,著名的，杰出的，卓越的,,
1688,meander,蜿蜒，迂回曲折地前进,,
1689,rehabilitate,使康复，使复原，恢复…的名誉，为……平反,,
1690,adverse,不利的，有害的,,
1691,adversity ,逆境，困境，困难,,
1692,be out to do ,决心做某事，力图做某事,,
1693,virtue,美德，优点，长处,,
1694,by virtue of,因为，由于，凭借,,
1695,profusion,丰富，充沛，大量,,
1696,neophyte,初学者，新手，生手,,
1697,unfounded,没有根据的，没有理由的,,
1698,trite,陈腐的，老套的,,
1699,appeal,诉诸于，试图通过激起……以获得支持，吸引，有吸引力，魅力，吸引力,,
1700,appealing,迷人的，吸引人的,,
1701,longevity,长寿,,
1702,coax,劝诱，哄劝,,
1703,crater,陨石坑,,
1704,concur,同意，一致，赞同,,
1705,vulnerable,易受伤害的，脆弱的,,
1706,synapse,神经突触,,
1707,expiation,补偿，赎罪,,
1708,obliterate,彻底消除，抹掉,,
1709,supposedly,根据推测，大概，可能,,
1710,supposition,假定，推测,,
1711,presuppose,以…为先决条件,,
1712,vitiate,损害，破坏，削弱,,
1713,deleterious,有害的,,
1714,contagious,有感染力的的，会蔓延开的,,
1715,parody,幽默夸张的模仿作品,,
1716,backhanded,间接的，转弯抹角的,,
1717,invidious,引人不满的，引人反感的，招人嫉妒的,,
1718,irk,使厌烦，使恼火,,
1719,beguile,欺骗，诱骗,,
1720,rant,大声责骂，痛斥,,
1721,refined,优雅的，考究的，有教养的,,
1722,refinement ,高雅，文雅，考究,,
1723,big-time,顶级的，一流的,,
1724,improvise,即兴创作，即兴表演，临时发挥，临时做,,
1725,meretricious,华而不实的，俗艳的,,
1726,slippery,难以定义的，意思难以捉摸的,,
1727,disquisition,专题论文，专题讨论,,
1728,offset,补偿，抵消,,
1729,genetic,遗传学的，根据遗传学的,,
1730,estrange,使疏远，离间,,
1731,crumble,崩溃，瓦解，消失,,
1732,demise,死亡，灭亡，终止,,
1733,puerile,幼稚的，孩子气的，愚蠢的,,
1734,production,演出，表演，戏剧或影视作品,,
1735,intelligible,可理解的，明白易懂的,,
1736,wing,建筑物的一部分,,
1737,self-imposed,自己强加的，自愿承担的,,
1738,intangible,不易捉摸的，难以理解的,,
1739,mawkish,极为多愁善感的，感情丰富到令人作呕的,,
1740,insatiable,无法满足的，贪得无厌的,,
1741,admonish,警告，告诫，责备,,
1742,emission,发出，射出，散发,,
1743,brook,[用于否定句]容忍，忍受，容许,,
1744,preserve,保持，保存，维持,,
1745,ecumenical,世界范围的，普遍的,,
1746,ascetic,极为节制的，禁欲的，苦行僧般的,,
1747,narrate,叙述，讲故事,,
1748,antecedent,先前的，在……之前的,,
1749,resourceful,善于随机应变的，足智多谋的,,
1750,pedagogical,教学的，教育学的,,
1751,diffident,不自信的，胆怯的,,
1752,diffidence ,缺乏自信，畏缩，胆怯,,
1753,sterling,极好的，极富价值的,,
1754,preponderance,优势，多数,,
1755,self-flattery,自我夸耀，自吹自擂，自我粉饰,,
1756,abate,减少，减弱，减轻,,
1757,unabated ,没有减弱的，没有减轻的,,
1758,cordial,热情的，友好的,,
1759,cordiality ,热情，友好,,
1760,futile,徒劳的，无用的,,
1761,futility ,徒劳，无用,,
1762,overwhelming,数量极大的，压倒性的，极为强烈的,,
1763,overwhelm,淹没，使难以承受，使不知所措,,
1764,whereby,[关系副词]靠那个，凭借那个，借以,,
1765,solidarity,团结，一致,,
1766,hefty,数量巨大的，可观的,,
1767,check,使停止，制止，抑制,,
1768,contrive,设计，做到，实现,,
1769,contrivance ,发明，设计，构造物,,
1770,suffocate,扼制，压制，阻止…的发展,,
1771,endemic,某地特有的，土生土长的,,
1772,sparse,稀少的，稀疏的,,
1773,pseudonym,假名，笔名,,
1774,elite,精英阶层，上层人士,,
1775,elitist,精英主义的，杰出人物统治论的，高高在上的，看不起人的,,
1776,elitism,精英主义，杰出人物统治论,,
1777,banal,陈腐的，毫无新意的,,
1778,banality  ,陈腐，毫无新意,,
1779,devastating,破坏性极大的，毁灭性的,,
1780,raging,狂怒的，狂暴的,,
1781,pedestrian,平淡无奇的，乏味的,,
1782,wane,衰减，衰落，败落,,
1783,avert,避免，防止,,
1784,spearhead,领先突击，带头,,
1785,approbation,赞扬，赞许,,
1786,dated,过时的，陈腐的,,
1787,eclipse,使不显著，使黯然失色,,
1788,donation,捐赠，赠送，发给,,
1789,avaricious,贪婪的，贪得无厌的,,
1790,archaeology,考古学,,
1791,underlying,背后的，基本的,,
1792,reprehend,斥责，指摘,,
1793,reprehensible,应受斥责的，应受指摘的,,
1794,jejune,乏味的，无聊的,,
1795,conviction,确信，深信，坚定的信仰,,
1796,convincing,令人信服的,,
1797,undertake,着手做，开始进行，从事,,
1798,torpor,迟钝，没有活力，死气沉沉,,
1799,slant,特定的观点或态度，带有偏向性的态度,,
1800,purview,范围,,
1801,parsimonious,吝啬的,,
1802,rodent,啮齿目动物，类似啮齿目动物,,
1803,modulate,调节，修改，控制,,
1804,opposition,反对，反抗，对抗,,
1805,high-handed,专横的，傲慢的，盛气凌人的,,
1806,instigate,开始，使发生,,
1807,ostentation,炫耀，夸示，卖弄,,
1808,ostentatious,炫耀的，卖弄的,,
1809,given,具体的，特定的，给定的，倾向于……的，易于……的，鉴于，因为，考虑到,,
1810,compliant,遵从的，服从的，顺从的,,
1811,edifying,有教育意义的,,
1812,halfhearted,不热心的，敷衍了事的,,
1813,for all,尽管，虽然,,
1814,presume,假定，假设,,
1815,presumption,假想，猜想,,
1816,presumably  ,据推测，大概，可能,,
1817,duplicity,口是心非，奸诈，欺骗,,
1818,dependence,依靠，依赖,,
1819,expedite,加快，加速，促进,,
1820,expeditious ,快捷的，迅速的,,
1821,ephemeral,极短的，短暂的，朝生暮死的,,
1822,confer,赋予，带来,,
1823,indifferent,冷漠的，无动于衷的，毫无兴趣的,,
1824,tout,宣扬，鼓吹,,
1825,murky,阴暗的，昏暗的,,
1826,circumstellar,环绕恒星运转的，围绕恒星的,,
1827,entity,实体，个体，存在物,,
1828,publicize,宣传,,
1829,publicity,媒体的关注，报道，宣传,,
1830,notwithstanding,尽管,,
1831,discursion,离题，跑题,,
1832,perennial,长期的，不断的，常在的,,
1833,inborn,天生的，生来的,,
1834,pragmatic,讲究实际的，务实的，重实效的,,
1835,charismatic,有号召力的，有魅力的,,
1836,oracular,玄妙深奥的，难以理解的,,
1837,congestion,拥堵，拥挤,,
1838,extroverted,性格外向的，好社交的,,
1839,gripping,令人全神贯注的，极为吸引人的,,
1840,scathing,严厉的，尖锐的，刻薄的,,
1841,commute,通勤，上下班,,
1842,resolve,坚定，坚决,,
1843,resolution ,坚定，坚决,,
1844,strand,股，缕,,
1845,vexation,生气，恼火，不安,,
1846,vexatious ,令人恼火的，令人苦恼的，令人伤脑筋的,,
1847,spate,大量，一大批,,
1848,dispute,争论，争端，纠纷，争论，争吵，质疑,,
1849,indisputable,不容置疑的，无可争辩的,,
1850,undisputed,公认的，毫无疑问的,,
1851,forage,搜寻,,
1852,ground,领域，理由，原因,,
1853,groundless,无理由的，无根据的，无基础的,,
1854,flighty,反复无常的，不负责任的，靠不住的,,
1855,enamor,爱慕，喜爱，爱恋,,
1856,air,态度，气质，气氛,,
1857,trenchant,锐利的，犀利的，一针见血的,,
1858,tweak,调节，调校,,
1859,usage,对待的方式,,
1860,clumsy,笨拙的,,
1861,manifest,显示，展示，表明，显然的，明白无误的，明了的,,
1862,reinforce,增强，加强，强化,,
1863,draconian,极为严厉的，严酷的，残忍的,,
1864,cosmopolitan,世界性的，全球的,,
1865,meddle,管，干涉,,
1866,taxing,繁重的，艰难的，累人的,,
1867,forgo,放弃,,
1868,outrage,使极度愤慨，使极为愤怒,,
1869,mockery,嘲笑，嘲讽,,
1870,reassure,使放心，使消除疑虑,,
1871,obsequious,巴结的，卑躬屈膝的，奉承拍马的,,
1872,return,回报,,
1873,acclaim,向…欢呼，为…喝彩，称赞,,
1874,construe,理解，把……理解成……,,
1875,misconstrue ,误解,,
1876,abstruse,深奥的，难解的,,
1877,wayward,难以捉摸的，反复无常的，任性的,,
1878,white-hot,白热化的，极其激烈的,,
1879,proclivity,倾向，癖好,,
1880,mercurial,善变的，反复无常的,,
1881,sitting,一次，一口气,,
1882,hinder,阻碍，妨碍，阻止,,
1883,garrulous,话多的，喋喋不休的,,
1884,quandary,窘境，无所适从,,
1885,plastic,可塑的,,
1886,undercut,削弱，破坏,,
1887,renowned,有名的，享有盛誉的,,
1888,recapitulate,扼要重述，总结，概括,,
1889,studied,刻意的，精心营造的，煞费苦心的,,
1890,rambling,冗长而混乱的，不切题的,,
1891,literal,字面的，单词字面意思的,,
1892,connotation,单词的隐含义,,
1893,integrity,正直，廉正，诚实,,
1894,retrench,减少，削减,,
1895,ubiquity,普遍存在，无处不在,,
1896,truculent,好斗的,,
1897,stopgap,权宜之计，临时的解决办法,,
1898,enlighten,启发，启迪，教育,,
1899,revenue,收入,,
1900,reconcile,调和，使达成一致,,
1901,polymath,博学者，知识面广的人,,
1902,promotion,促进，发扬，提倡，晋升,,
1903,abstract,抽离，剥离，提取,,
1904,abstraction,抽象概念，抽象名称,,
1905,eloquent,雄辩的，言辞流利的，有说服力的,,
1906,compartmentalize,分隔，划分,,
1907,deadlock,僵持，僵局，停顿,,
1908,souvenir,纪念品，纪念物,,
1909,placement,放置，布置，布局,,
1910,flip,翻转，倒转,,
1911,recant,放弃，不再坚持,,
1912,premeditate,预先考虑，预先策划，预谋,,
1913,memo,备忘录,,
1914,memoir,回忆录，自传,,
1915,memento,纪念物，纪念品，引起回忆的东西,,
1916,memorable,值得纪念的，难忘的，值得注意的,,
1917,overshadow,使黯然失色，使显得不重要或不突出,,
1918,context,背景，环境，上下文，语境,,
1919,insurmountable,不可逾越的，难以克服的,,
1920,fungible,可互换的，可互相代替的,,
1921,counterfeit,伪造的，仿造的,,
1922,choreograph,设计，计划，安排,,
1923,aggregate,总和的，整体的，总计的,,
1924,demarcate,标出…的界线，给…划界,,
1925,trade-off,权衡，协调，妥协,,
1926,sobering,令人严肃的，令人庄重的，令人冷静的,,
1927,perfunctory,敷衍的，马虎的，随随便便的,,
1928,approach,方式，方法，态度,,
1929,unflinching,直言不讳的，直截了当的,,
1930,debunk,揭穿，揭露，揭发……是假的,,
1931,invasive,入侵的，侵略的，侵占的,,
1932,mask,掩饰，隐藏,,
1933,condescending,有优越感的，居高临下的，自认为高人一等的,,
1934,inveterate,根深蒂固的，积习难改的,,
1935,materialize,实现，发生,,
1936,span,持续，包括，持续时间,,
1937,impel,激励，驱使，迫使,,
1938,on that/this score,关于……，就……而言,,
1939,hitch,暂时的困难，问题，障碍,,
1940,archetypal,典型的,,
1941,croon,低吟，哼唱，轻哼,,
1942,subtle,不明显的，难以察觉的,,
1943,subtlety ,细微，巧妙，敏锐,,
1944,brilliance,才华，才智,,
1945,derision,嘲笑，嘲弄,,
1946,plodding,节奏缓慢的，无趣的,,
1947,vehement,猛烈的，情绪激烈的,,
1948,presage,预示,,
1949,abnegation,放弃,,
1950,stance,姿态，态度,,
1951,contend,声称，主张，认为,,
1952,contention,争辩，争论，争吵，观点，论点,,
1953,contentious,有争议的，喜欢吵架的，好辩的,,
1954,utterance,言辞，言语，言论,,
1955,negligible,可略而不计的，微不足道的,,
1956,render,使变得，使成为,,
1957,amorphous,模棱两可的，难以归类的,,
1958,venal,贪赃的，贪污的，唯利是图的,,
1959,perpetuate,使永久，使永恒，保持,,
1960,gross,极为恶劣的，极为严重的，极为过分的,,
1961,controvert,反驳，驳斥，质疑,,
1962,imprudent,不谨慎的，轻率的，鲁莽的,,
1963,irreversible,不可改变的，不可挽回的，不可撤销的,,
1964,intensify,加强，增强,,
1965,intensity,强烈，剧烈，强度,,
1966,intensification,加强，增强,,
1967,deception,欺骗，诓骗，蒙蔽,,
1968,deceptive,骗人的，欺骗性的,,
1969,extol,颂扬，热烈赞美,,
1970,quell,镇压，平息，压制,,
1971,fervor,热情，热烈,,
1972,fervent,热烈的，强烈的,,
1973,historic,历史上著名的，历史上有重大意义的，历史上的，过去的,,
1974,historicism,复古主义，崇拜传统,,
1975,insofar as,在…的范围内，到…的程度,,
1976,gratify,使愉悦，使满意,,
1977,prevail,获胜，占优势，占上风,,
1978,prevailing,主流的，普遍的，流行的,,
1979,prevalent,流行的，盛行的，普遍的,,
1980,prevalence,流行，普遍，广泛,,
1981,altruistic,利他的，无私的,,
1982,altruism,利他，无私,,
1983,be a far (long) cry from,和…相去甚远，和…大相径庭,,
1984,adjunct,附属物，附件,,
1985,abash,使羞愧，使害臊，使窘迫,,
1986,unabashed,不加掩饰的，公然的,,
1987,warble,高声婉转地唱，用颤音唱,,
1988,pernicious,有害的，暗中为害的,,
1989,ultra,极度地，非常地,,
1990,vivacity,迷人的活力,,
1991,dwindle,逐渐变小，缩小，减少,,
1992,relish,享受,,
1993,scads,大量，许多,,
1994,crucial,决定性的，关键性的，至关重要的,,
1995,clog,阻塞，堵住,,
1996,conscientious,认真负责的，勤勤恳恳的,,
1997,nullify,抵消，使无效，使失效,,
1998,impute,归罪于，归咎于，归因于,,
1999,adolescent,青春期的,,
2000,adolescence,青春期,,
2001,alacrity,欣然，热情，爽快,,
2002,not least,尤其是,,
2003,proponent,支持者,,
2004,defend,为…辩护,,
2005,defensive,防御的，守势的，自我辩护的，急于反驳批评的，认为别人在批评自己的,,
2006,affliction,令人痛苦的事物,,
2007,monotonous,单调的，乏味的,,
2008,thriller,惊险小说，惊悚片，悬疑片,,
2009,thrilling,令人兴奋的，激动人心的,,
2010,causality,因果关系，因果性,,
2011,authoritarian,独裁的，专制的,,
2012,authoritative,权威性的，可信的,,
2013,authorize,授权，批准,,
2014,spontaneous,自然的，无拘无束的，自主的，自然的，非外在原因导致的,,
2015,spontaneity,自发，自然,,
2016,rally,共同支持，团结在……周围,,
2017,grumble,抱怨，发牢骚,,
2018,neutrality,中立，中立态度,,
2019,derive,从……获得，由……得到，来自，出自，由……而来,,
2020,derivative,派生的，衍生的，老套的，没有新意的,,
2021,supersede,替代，取代,,
2022,yield,产生，带来，屈曲，倒塌，垮掉,,
2023,unyielding ,不屈从的，坚定的，顽强的,,
2024,averse,厌恶的，反感的，不愿意的,,
2025,aversion ,厌恶，反感,,
2026,invaluable,非常宝贵的，极为贵重的，无价的,,
2027,disown,否认，否认有……，否认与……有关,,
2028,genealogy,家谱，祖先,,
2029,mammal,哺乳动物,,
2030,sidestep,回避，避开,,
2031,auction,拍卖,,
2032,patent,专利，专利权，明显的，显而易见的,,
2033,antiquated,过时的，落伍的,,
2034,vacuous,没有思想的，愚蠢的,,
2035,drawback,缺点，不足，不利条件,,
2036,vague,含糊的，不明确的，不清楚的,,
2037,delegate,授，把委派给,,
2038,pugnacious,好斗的，好争吵的,,
2039,pungnacity ,好斗，好争吵,,
2040,obsolete,废弃的，淘汰的,,
2041,trace,微量，微量的,,
2042,prestige,威信，威望，声望,,
2043,prestigious  ,有威信的，有威望的，有声望的,,
2044,nebulous,模糊的，不清楚的，模棱两可的,,
2045,demolish,完全反驳，彻底否定,,
2046,dissension,意见分歧，不和,,
2047,intimate,熟悉的，亲密的，密切的，私密的，个人的，暗示，提示,,
2048,scold,痛斥，责骂，叱责,,
2049,conceive,想象，设想,,
2050,conceivable,能想象出来的，有可能的,,
2051,misconception,误解，错误的看法,,
2052,unrelenting,无休止的，毫不放松的，坚定不移的,,
2053,vice versa,反之亦然,,
2054,devolve,移交，转移，逐渐恶化，逐渐退化,,
2055,impetuous,急躁的，鲁莽的，冲动的,,
2056,bagatelle,琐事，轻松的事,,
2057,replicate,复制，仿制，制作副本,,
2058,detest,厌恶，讨厌，憎恶,,
2059,detestation,厌恶，讨厌，憎恶,,
2060,girth,围长，腰围,,
2061,sentiment,观点，看法，态度，情绪,,
2062,sentimental  ,多愁善感的，伤感的,,
2063,fallacious,谬误的,,
2064,fallibility,容易出错，可能出错,,
2065,obligation,义务，责任,,
2066,obligatory ,有义务的，必须的，强制性的,,
2067,resonate,产生共鸣,,
2068,imperative,至关重要的事，迫在眉睫的事,,
2069,appurtenance,附加物，附带的东西,,
2070,spin,曲解，歪曲，有利于自己的理解，旋转,,
2071,merchandise,商品，货物,,
2072,aspire,渴望，有志向,,
2073,deviate,背离，偏离,,
2074,deviation,背离，偏离,,
2075,compulsory,强制的，强迫的,,
2076,compulsive,忍不住的，强迫症一样的,,
2077,jettison,丢弃，扔掉,,
2078,well-being,幸福，安康,,
2079,retroactive,有追溯力的，溯及既往的,,
2080,bypass,回避，避开,,
2081,humanitarian,人道主义的,,
2082,self-knowledge,自知，自知之明,,
2083,shoulder,担负，承担,,
2084,biotic,生命的，生物的,,
2085,overreach oneself,做力所不能及的事，自不量力,,
2086,hybrid,混合的,,
2087,coalesce,联合，合并,,
2088,conform,相似，一致，符合,,
2089,conformity,遵守传统，服从规范,,
2090,indolent,懒惰的,,
2091,indolence,懒惰，怠惰，好逸恶劳,,
2092,nutrient,营养品，滋养物，食物,,
2093,placid,宁静的，平静的,,
2094,confused,混乱的,,
2095,meteoric,极快的，飞一般的,,
2096,mien,外表，样子,,
2097,repackage,重新包装，重新装饰…的外表,,
2098,mobility,流动性，移动性,,
2099,perceive,感知，感觉，察觉,,
2100,perceptive ,感知力强的，有洞察力的,,
2101,perceptible,可察觉到的，看得出来的,,
2102,unwonted,不寻常的,,
2103,wont,倾向于…的，易于…的,,
2104,encode,编码,,
2105,incentive,动机，激励，刺激,,
2106,shrewd,机灵的，敏锐的，精明的,,
2107,hodgepodge,混杂，大杂烩,,
2108,dire,严重的，紧急的，危急的,,
2109,recount,叙述，讲述,,
2110,simultaneous,同时发生的，同时存在的，同时进行的,,
2111,magnanimity,宽宏大量,,
2112,profound,巨大的，深远的，极为强烈的,,
2113,cumulative,累积的，渐增的,,
2114,rhetoric,华丽的辞藻，浮夸的言辞,,
2115,obeisance,尊敬，敬意,,
2116,project,预测，预计，估计，投影，投射,,
2117,projection ,预测，推测，估计,,
2118,flagrant,公然的，罪恶昭彰的,,
2119,polish,优雅，典雅,,
2120,tyrant,暴君似的人，暴虐的人，专横的人,,
2121,quotidian,日常的，普通的，平凡的,,
2122,lavish,非常大方的，极为慷慨的，浪费的,,
2123,noticeable,值得注意的，重要的,,
2124,warrant,使合理，使应该，使有必要,,
2125,unwarranted,不合理的，没有依据的,,
2126,scarce,缺乏的，不足的,,
2127,scarcity,缺乏，不足,,
2128,functional,实用的,,
2129,munificent,慷慨的,,
2130,crack,破译，破解,,
2131,proscribe,禁止,,
2132,proscription,禁止,,
2133,proscriptive,禁止的,,
2134,participant,参加者，参与者,,
2135,pleasantry,小笑话,,
2136,involuntary,不由自主的，无意识的，本能的,,
2137,qualify,是具有资格，加以限制条件使之变得不绝对，限定，削弱,,
